biomarker;correlation_type;neurotransmitter;receptor;region_type;n;rho;pvalue;p_spin;pvalue_fdr;sig_fdr
volume;delta_all;ach;M1;cortical;62;-0,0913;0,480179701;;;FALSE
volume;delta_all;ach;A4B2;cortical;62;0,0353;0,78544861;;;FALSE
volume;delta_all;ach;VAChT;subcortical;19;0,2947;0,220594781;;0,392168499;FALSE
volume;delta_all;ach;M1;subcortical;19;-0,0228;0,92616106;;0,92616106;FALSE
volume;delta_all;ach;A4B2;subcortical;19;0,2175;0,370969575;;0,456577939;FALSE
volume;delta_all;gaba;GABAa-bz;cortical;62;0,5516;3,37E-06;;;FALSE
volume;delta_all;gaba;GABAa;cortical;62;0,1123;0,384686121;;;FALSE
volume;delta_all;gaba;GABAa-bz;subcortical;19;-0,2439;0,314371565;;0,456577939;FALSE
volume;delta_all;gaba;GABAa;subcortical;19;-0,4316;0,065029902;;0,208095685;FALSE
volume;delta_all;serotonin;5HT1a;cortical;62;-0,7102;1,02E-10;;;FALSE
volume;delta_all;serotonin;5HT1b;cortical;62;0,3515;0,005093184;;;FALSE
volume;delta_all;serotonin;5HT2a;cortical;62;-0,0976;0,450541547;;;FALSE
volume;delta_all;serotonin;5HT4;cortical;62;-0,3966;0,001417009;;;FALSE
volume;delta_all;serotonin;5HT6;cortical;62;0,1238;0,337653766;;;FALSE
volume;delta_all;serotonin;5HTT;cortical;62;-0,0162;0,900595348;;;FALSE
volume;delta_all;serotonin;5HT1a;subcortical;19;-0,5649;0,011729724;;0,132964117;FALSE
volume;delta_all;serotonin;5HT1b;subcortical;19;0,4649;0,044896127;;0,179584506;FALSE
volume;delta_all;serotonin;5HT2a;subcortical;19;-0,5193;0,022694202;;0,132964117;FALSE
volume;delta_all;serotonin;5HT4;subcortical;19;0,3158;0,187821456;;0,375642912;FALSE
volume;delta_all;serotonin;5HT6;subcortical;19;0,2246;0,35534599;;0,456577939;FALSE
volume;delta_all;serotonin;5HTT;subcortical;19;0,3895;0,099299102;;0,264797604;FALSE
volume;delta_all;glutamate;mGluR5;cortical;62;0,0231;0,858606199;;;FALSE
volume;delta_all;glutamate;NMDA;cortical;62;0,1828;0,154894295;;;FALSE
volume;delta_all;glutamate;mGluR5;subcortical;19;-0,0561;0,8194314;;0,87406016;FALSE
volume;delta_all;glutamate;NMDA;subcortical;19;-0,0561;0,8194314;;0,87406016;FALSE
volume;delta_declining;dopamine;D1;cortical;62;-0,0457;0,724280588;;;FALSE
volume;delta_declining;dopamine;D2;cortical;62;-0,6124;1,22E-07;;;FALSE
volume;delta_declining;dopamine;DAT;cortical;62;-0,12;0,352914105;;;FALSE
volume;delta_declining;dopamine;D1;subcortical;19;0,3526;0,138662986;;0,239115693;FALSE
volume;delta_declining;dopamine;D2;subcortical;19;0,4246;0,070015189;;0,224048605;FALSE
volume;delta_declining;dopamine;DAT;subcortical;19;0,6123;0,005327428;;0,045373063;TRUE
volume;delta_declining;ach;VAChT;cortical;62;0,0684;0,597498958;;;FALSE
volume;delta_declining;ach;M1;cortical;62;0,0492;0,70395693;;;FALSE
volume;delta_declining;ach;A4B2;cortical;62;0,1875;0,144524906;;;FALSE
volume;delta_declining;ach;VAChT;subcortical;19;0,3439;0,149447308;;0,239115693;FALSE
volume;delta_declining;ach;M1;subcortical;19;0,086;0,726397044;;0,83016805;FALSE
volume;delta_declining;ach;A4B2;subcortical;19;0,1316;0,591304712;;0,727759646;FALSE
volume;delta_declining;gaba;GABAa-bz;cortical;62;0,4902;5,26E-05;;;FALSE
volume;delta_declining;gaba;GABAa;cortical;62;0,082;0,52650979;;;FALSE
volume;delta_declining;gaba;GABAa-bz;subcortical;19;-0,186;0,445906275;;0,5945417;FALSE
volume;delta_declining;gaba;GABAa;subcortical;19;-0,3754;0,11319758;;0,22639516;FALSE
volume;delta_declining;serotonin;5HT1a;cortical;62;-0,6561;7,11E-09;;;FALSE
volume;delta_declining;serotonin;5HT1b;cortical;62;0,4494;0,000248463;;;FALSE
volume;delta_declining;serotonin;5HT2a;cortical;62;-0,039;0,76370804;;;FALSE
volume;delta_declining;serotonin;5HT4;cortical;62;-0,3421;0,00649877;;;FALSE
volume;delta_declining;serotonin;5HT6;cortical;62;0,1809;0,159452472;;;FALSE
volume;delta_declining;serotonin;5HTT;cortical;62;-0,0115;0,929261499;;;FALSE
volume;delta_declining;serotonin;5HT1a;subcortical;19;-0,4421;0,058056754;;0,224048605;FALSE
volume;delta_declining;serotonin;5HT1b;subcortical;19;0,6088;0,005671633;;0,045373063;TRUE
volume;delta_declining;serotonin;5HT2a;subcortical;19;-0,3772;0,111388203;;0,22639516;FALSE
volume;delta_declining;serotonin;5HT4;subcortical;19;0,3877;0,100965151;;0,22639516;FALSE
volume;delta_declining;serotonin;5HT6;subcortical;19;0,2912;0,226397194;;0,329305009;FALSE
volume;delta_declining;serotonin;5HTT;subcortical;19;0,4754;0,039655043;;0,211493562;FALSE
volume;delta_declining;glutamate;mGluR5;cortical;62;0,122;0,344830089;;;FALSE
volume;delta_declining;glutamate;NMDA;cortical;62;0,2228;0,081708351;;;FALSE
volume;delta_declining;glutamate;mGluR5;subcortical;19;0,0456;0,852896074;;0,852896074;FALSE
volume;delta_declining;glutamate;NMDA;subcortical;19;-0,0684;0,780767402;;0,832818562;FALSE
volume;baseline_all;dopamine;D1;cortical;62;0,0569;0,660262664;;;FALSE
volume;baseline_all;dopamine;D2;cortical;62;-0,4173;0,000740234;;;FALSE
volume;baseline_all;dopamine;DAT;cortical;62;0,1686;0,190234373;;;FALSE
volume;baseline_all;dopamine;D1;subcortical;19;0,6754;0,001505512;;0,008029399;TRUE
volume;baseline_all;dopamine;D2;subcortical;19;0,7526;0,000200634;;0,003210149;TRUE
volume;baseline_all;dopamine;DAT;subcortical;19;0,6298;0,003852741;;0,015410965;TRUE
volume;baseline_all;ach;VAChT;cortical;62;0,3501;0,005285949;;;FALSE
volume;baseline_all;ach;M1;cortical;62;0,0487;0,707137458;;;FALSE
volume;baseline_all;ach;A4B2;cortical;62;0,153;0,235049505;;;FALSE
volume;baseline_all;ach;VAChT;subcortical;19;0,7018;0,000811789;;0,006494312;TRUE
volume;baseline_all;ach;M1;subcortical;19;0,486;0,034898352;;0,069796704;FALSE
volume;baseline_all;ach;A4B2;subcortical;19;-0,0158;0,948846126;;0,948846126;FALSE
volume;baseline_all;gaba;GABAa-bz;cortical;62;0,5361;7,08E-06;;;FALSE
volume;baseline_all;gaba;GABAa;cortical;62;0,1861;0,147512801;;;FALSE
volume;baseline_all;gaba;GABAa-bz;subcortical;19;-0,0228;0,92616106;;0,948846126;FALSE
volume;baseline_all;gaba;GABAa;subcortical;19;-0,286;0,23528463;;0,31371284;FALSE
volume;baseline_all;serotonin;5HT1a;cortical;62;-0,4834;6,89E-05;;;FALSE
volume;baseline_all;serotonin;5HT1b;cortical;62;0,3616;0,003881978;;;FALSE
volume;baseline_all;serotonin;5HT2a;cortical;62;-0,2428;0,05721039;;;FALSE
volume;baseline_all;serotonin;5HT4;cortical;62;-0,5303;9,31E-06;;;FALSE
volume;baseline_all;serotonin;5HT6;cortical;62;0,2325;0,069050079;;;FALSE
volume;baseline_all;serotonin;5HTT;cortical;62;0,4015;0,001218298;;;FALSE
volume;baseline_all;serotonin;5HT1a;subcortical;19;-0,4158;0,07664058;;0,122624928;FALSE
volume;baseline_all;serotonin;5HT1b;subcortical;19;0,4895;0,033415262;;0,069796704;FALSE
volume;baseline_all;serotonin;5HT2a;subcortical;19;-0,1474;0,547136343;;0,625298678;FALSE
volume;baseline_all;serotonin;5HT4;subcortical;19;0,5789;0,009396104;;0,025056278;TRUE
volume;baseline_all;serotonin;5HT6;subcortical;19;0,607;0,005850433;;0,018721385;TRUE
volume;baseline_all;serotonin;5HTT;subcortical;19;0,3404;0,153919412;;0,223882781;FALSE
volume;baseline_all;glutamate;mGluR5;cortical;62;0,1254;0,331549688;;;FALSE
volume;baseline_all;glutamate;NMDA;cortical;62;0,404;0,001126907;;;FALSE
volume;baseline_all;glutamate;mGluR5;subcortical;19;0,4702;0,04221316;;0,075045618;FALSE
volume;baseline_all;glutamate;NMDA;subcortical;19;0,207;0,395116165;;0,486296819;FALSE
volume;baseline_declining;dopamine;D1;cortical;62;-0,0099;0,939147713;;;FALSE
volume;baseline_declining;dopamine;D2;cortical;62;-0,4638;0,000146519;;;FALSE
volume;baseline_declining;dopamine;DAT;cortical;62;0,0077;0,952755895;;;FALSE
volume;baseline_declining;dopamine;D1;subcortical;19;0,6544;0,00236693;;0,012623624;TRUE
volume;baseline_declining;dopamine;D2;subcortical;19;0,7596;0,000161259;;0,002580148;TRUE
volume;baseline_declining;dopamine;DAT;subcortical;19;0,6281;0,003983054;;0,015932215;TRUE
volume;baseline_declining;ach;VAChT;cortical;62;0,2695;0,034140766;;;FALSE
volume;baseline_declining;ach;M1;cortical;62;0,1438;0,264783352;;;FALSE
volume;baseline_declining;ach;A4B2;cortical;62;0,3418;0,006540839;;;FALSE
volume;baseline_declining;ach;VAChT;subcortical;19;0,7211;0,000494729;;0,003957836;TRUE
volume;baseline_declining;ach;M1;subcortical;19;0,4193;0,073936985;;0,118299176;FALSE
volume;baseline_declining;ach;A4B2;subcortical;19;0,1298;0,596302554;;0,636056058;FALSE
volume;baseline_declining;gaba;GABAa-bz;cortical;62;0,5492;3,79E-06;;;FALSE
volume;baseline_declining;gaba;GABAa;cortical;62;0,1716;0,182296956;;;FALSE
volume;baseline_declining;gaba;GABAa-bz;subcortical;19;0,0053;0,982939261;;0,982939261;FALSE
volume;baseline_declining;gaba;GABAa;subcortical;19;-0,3053;0,203772775;;0,250797261;FALSE
volume;baseline_declining;serotonin;5HT1a;cortical;62;-0,5523;3,26E-06;;;FALSE
volume;baseline_declining;serotonin;5HT1b;cortical;62;0,575;1,02E-06;;;FALSE
volume;baseline_declining;serotonin;5HT2a;cortical;62;-0,0414;0,749510059;;;FALSE
volume;baseline_declining;serotonin;5HT4;cortical;62;-0,418;0,000723508;;;FALSE
volume;baseline_declining;serotonin;5HT6;cortical;62;0,309;0,014552659;;;FALSE
volume;baseline_declining;serotonin;5HTT;cortical;62;0,2214;0,083709119;;;FALSE
volume;baseline_declining;serotonin;5HT1a;subcortical;19;-0,5456;0,015677039;;0,035833233;TRUE
volume;baseline_declining;serotonin;5HT1b;subcortical;19;0,4298;0,066250508;;0,118299176;FALSE
volume;baseline_declining;serotonin;5HT2a;subcortical;19;-0,2;0,411681013;;0,470492587;FALSE
volume;baseline_declining;serotonin;5HT4;subcortical;19;0,5684;0,011106775;;0,029618066;TRUE
volume;baseline_declining;serotonin;5HT6;subcortical;19;0,586;0,008379072;;0,026813029;TRUE
volume;baseline_declining;serotonin;5HTT;subcortical;19;0,3561;0,134505742;;0,195644715;FALSE
volume;baseline_declining;glutamate;mGluR5;cortical;62;0,2016;0,116153029;;;FALSE
volume;baseline_declining;glutamate;NMDA;cortical;62;0,2541;0,046306439;;;FALSE
volume;baseline_declining;glutamate;mGluR5;subcortical;19;0,4246;0,070015189;;0,118299176;FALSE
volume;baseline_declining;glutamate;NMDA;subcortical;19;0,3351;0,160799386;;0,214399181;FALSE
thickness;delta_all;dopamine;D1;cortical;62;-0,048;0,710902694;0,864135864;0,864135864;FALSE
thickness;delta_all;dopamine;D2;cortical;62;-0,5526;3,22E-06;0,025974026;0,138528139;FALSE
thickness;delta_all;dopamine;DAT;cortical;62;-0,0643;0,619592454;0,825174825;0,864135864;FALSE
thickness;delta_all;ach;VAChT;cortical;62;0,1428;0,268179584;0,622377622;0,864135864;FALSE
thickness;delta_all;ach;M1;cortical;62;0,113;0,381690459;0,648351648;0,864135864;FALSE
thickness;delta_all;ach;A4B2;cortical;62;0,1756;0,172214934;0,62037962;0,864135864;FALSE
thickness;delta_all;gaba;GABAa-bz;cortical;62;0,5191;1,54E-05;0,014985015;0,11988012;FALSE
thickness;delta_all;gaba;GABAa;cortical;62;0,0799;0,53727078;0,738261738;0,864135864;FALSE
thickness;delta_all;serotonin;5HT1a;cortical;62;-0,6668;3,29E-09;0,002997003;0,047952048;TRUE
thickness;delta_all;serotonin;5HT1b;cortical;62;0,4076;0,001007733;0,130869131;0,418781219;FALSE
thickness;delta_all;serotonin;5HT2a;cortical;62;-0,1756;0,172214934;0,483516484;0,864135864;FALSE
thickness;delta_all;serotonin;5HT4;cortical;62;-0,4417;0,000326163;0,043956044;0,175824176;FALSE
thickness;delta_all;serotonin;5HT6;cortical;62;0,1788;0,164471065;0,518481518;0,864135864;FALSE
thickness;delta_all;serotonin;5HTT;cortical;62;0,188;0,143429828;0,495504496;0,864135864;FALSE
thickness;delta_all;glutamate;mGluR5;cortical;62;0,0557;0,667330234;0,84015984;0,864135864;FALSE
thickness;delta_all;glutamate;NMDA;cortical;62;0,2413;0,058824403;0,262737263;0,700632701;FALSE
thickness;delta_declining;dopamine;D1;cortical;62;0,0076;0,953065343;0,972027972;0,972027972;FALSE
thickness;delta_declining;dopamine;D2;cortical;62;-0,5437;4,95E-06;0,010989011;0,058608059;FALSE
thickness;delta_declining;dopamine;DAT;cortical;62;-0,0138;0,915069068;0,958041958;0,972027972;FALSE
thickness;delta_declining;ach;VAChT;cortical;62;0,2646;0,037657555;0,245754246;0,56172399;FALSE
thickness;delta_declining;ach;M1;cortical;62;0,199;0,121070891;0,382617383;0,68020868;FALSE
thickness;delta_declining;ach;A4B2;cortical;62;0,2598;0,041428747;0,352647353;0,68020868;FALSE
thickness;delta_declining;gaba;GABAa-bz;cortical;62;0,4481;0,00026034;0,024975025;0,0999001;FALSE
thickness;delta_declining;gaba;GABAa;cortical;62;0,096;0,457854911;0,642357642;0,790594021;FALSE
thickness;delta_declining;serotonin;5HT1a;cortical;62;-0,6321;3,58E-08;0,000999001;0,015984016;TRUE
thickness;delta_declining;serotonin;5HT1b;cortical;62;0,4443;0,00029704;0,03996004;0,127872128;FALSE
thickness;delta_declining;serotonin;5HT2a;cortical;62;-0,1381;0,284531474;0,553446553;0,737928738;FALSE
thickness;delta_declining;serotonin;5HT4;cortical;62;-0,5132;1,99E-05;0,00999001;0,058608059;FALSE
thickness;delta_declining;serotonin;5HT6;cortical;62;0,1739;0,17637579;0,473526474;0,737928738;FALSE
thickness;delta_declining;serotonin;5HTT;cortical;62;0,1583;0,219219244;0,537462537;0,737928738;FALSE
thickness;delta_declining;glutamate;mGluR5;cortical;62;0,0985;0,446091238;0,702297702;0,802625945;FALSE
thickness;delta_declining;glutamate;NMDA;cortical;62;0,3538;0,004789922;0,064935065;0,173160173;FALSE
thickness;baseline_all;dopamine;D1;cortical;62;-0,0805;0,53392852;0,612387612;0,677322677;FALSE
thickness;baseline_all;dopamine;D2;cortical;62;-0,3344;0,00788912;0,028971029;0,154512155;FALSE
thickness;baseline_all;dopamine;DAT;cortical;62;0,0662;0,609457185;0,677322677;0,677322677;FALSE
thickness;baseline_all;ach;VAChT;cortical;62;0,1414;0,272810581;0,3996004;0,639360639;FALSE
thickness;baseline_all;ach;M1;cortical;62;0,0703;0,586987413;0,664335664;0,677322677;FALSE
thickness;baseline_all;ach;A4B2;cortical;62;0,0861;0,505814199;0,625374625;0,677322677;FALSE
thickness;baseline_all;gaba;GABAa-bz;cortical;62;0,2668;0,03606317;0,078921079;0,310546596;FALSE
thickness;baseline_all;gaba;GABAa;cortical;62;0,1093;0,397682592;0,496503497;0,677322677;FALSE
thickness;baseline_all;serotonin;5HT1a;cortical;62;-0,4479;0,000261743;0,001998002;0,015984016;TRUE
thickness;baseline_all;serotonin;5HT1b;cortical;62;0,2396;0,060753783;0,135864136;0,310546596;FALSE
thickness;baseline_all;serotonin;5HT2a;cortical;62;-0,2493;0,050722539;0,100899101;0,310546596;FALSE
thickness;baseline_all;serotonin;5HT4;cortical;62;-0,5984;2,79E-07;0,000999001;0,015984016;TRUE
thickness;baseline_all;serotonin;5HT6;cortical;62;0,0935;0,469786272;0,551448551;0,677322677;FALSE
thickness;baseline_all;serotonin;5HTT;cortical;62;0,2612;0,040297937;0,127872128;0,310546596;FALSE
thickness;baseline_all;glutamate;mGluR5;cortical;62;-0,1445;0,262591362;0,361638362;0,639360639;FALSE
thickness;baseline_all;glutamate;NMDA;cortical;62;0,2049;0,110133233;0,170829171;0,341658342;FALSE
thickness;baseline_declining;dopamine;D1;cortical;62;-0,0326;0,801637333;0,851148851;0,907892108;FALSE
thickness;baseline_declining;dopamine;D2;cortical;62;-0,3207;0,011032422;0,070929071;0,226973027;FALSE
thickness;baseline_declining;dopamine;DAT;cortical;62;-0,0091;0,944094344;0,967032967;0,967032967;FALSE
thickness;baseline_declining;ach;VAChT;cortical;62;0,1997;0,119636263;0,293706294;0,529070929;FALSE
thickness;baseline_declining;ach;M1;cortical;62;0,1693;0,18836049;0,328671329;0,529070929;FALSE
thickness;baseline_declining;ach;A4B2;cortical;62;0,2893;0,022564799;0,118881119;0,317016317;FALSE
thickness;baseline_declining;gaba;GABAa-bz;cortical;62;0,3551;0,004619437;0,024975025;0,0999001;FALSE
thickness;baseline_declining;gaba;GABAa;cortical;62;0,1203;0,351694111;0,453546454;0,604728605;FALSE
thickness;baseline_declining;serotonin;5HT1a;cortical;62;-0,4612;0,000161817;0,004995005;0,058608059;FALSE
thickness;baseline_declining;serotonin;5HT1b;cortical;62;0,4388;0,000359744;0,010989011;0,058608059;FALSE
thickness;baseline_declining;serotonin;5HT2a;cortical;62;-0,099;0,443758807;0,565434565;0,695919465;FALSE
thickness;baseline_declining;serotonin;5HT4;cortical;62;-0,4468;0,000272247;0,008991009;0,058608059;FALSE
thickness;baseline_declining;serotonin;5HT6;cortical;62;0,2204;0,085161764;0,224775225;0,513771942;FALSE
thickness;baseline_declining;serotonin;5HTT;cortical;62;0,1742;0,175613889;0,374625375;0,544909636;FALSE
thickness;baseline_declining;glutamate;mGluR5;cortical;62;0,0652;0,614652821;0,753246753;0,860853432;FALSE
thickness;baseline_declining;glutamate;NMDA;cortical;62;0,1552;0,228258442;0,330669331;0,529070929;FALSE
