biomarker;correlation_type;neurotransmitter;receptor;region_type;n;rho;pvalue;p_spin;pvalue_fdr;sig_fdr
fdg;delta_declining;serotonin;5HTT;cortical;62;0,4761;9,19E-05;0,003996004;0,063936064;FALSE
fdg;delta_declining;serotonin;5HT1a;subcortical;19;0,0491;0,841711569;;0,982939261;FALSE
fdg;delta_declining;serotonin;5HT1b;subcortical;19;0,4035;0,086680812;;0,982939261;FALSE
fdg;delta_declining;serotonin;5HT2a;subcortical;19;0,0386;0,875343879;;0,982939261;FALSE
fdg;delta_declining;serotonin;5HT4;subcortical;19;-0,007;0,977253574;;0,982939261;FALSE
fdg;delta_declining;serotonin;5HT6;subcortical;19;-0,1298;0,596302554;;0,982939261;FALSE
fdg;delta_declining;serotonin;5HTT;subcortical;19;0,3228;0,177665457;;0,982939261;FALSE
fdg;delta_declining;glutamate;mGluR5;cortical;62;-0,2163;0,091249147;0,114885115;0,306360306;FALSE
fdg;delta_declining;glutamate;NMDA;cortical;62;0,2242;0,079745589;0,157842158;0,360782075;FALSE
fdg;delta_declining;glutamate;mGluR5;subcortical;19;-0,1614;0,509171343;;0,982939261;FALSE
fdg;delta_declining;glutamate;NMDA;subcortical;19;-0,1526;0,532751727;;0,982939261;FALSE
fdg;baseline_all;dopamine;D1;cortical;62;-0,3986;0,001332631;0,078921079;0,21045621;FALSE
fdg;baseline_all;dopamine;D2;cortical;62;-0,674;1,91E-09;0,008991009;0,058608059;FALSE
fdg;baseline_all;dopamine;DAT;cortical;62;-0,5455;4,54E-06;0,02997003;0,11988012;FALSE
fdg;baseline_all;dopamine;D1;subcortical;19;0,486;0,034898352;;0,092557962;FALSE
fdg;baseline_all;dopamine;D2;subcortical;19;0,5737;0,010222581;;0,073434438;FALSE
fdg;baseline_all;dopamine;DAT;subcortical;19;0,2649;0,273051176;;0,397165346;FALSE
fdg;baseline_all;ach;VAChT;cortical;62;-0,0847;0,512582198;0,766233766;0,876837448;FALSE
fdg;baseline_all;ach;M1;cortical;62;0,2721;0,032404306;0,238761239;0,391608392;FALSE
fdg;baseline_all;ach;A4B2;cortical;62;0,367;0,003342908;0,244755245;0,391608392;FALSE
fdg;baseline_all;ach;VAChT;subcortical;19;0,5842;0,008624535;;0,073434438;FALSE
fdg;baseline_all;ach;M1;subcortical;19;0,4737;0,040494108;;0,092557962;FALSE
fdg;baseline_all;ach;A4B2;subcortical;19;0,2772;0,250588895;;0,397165346;FALSE
fdg;baseline_all;gaba;GABAa-bz;cortical;62;0,2641;0,038036602;0,21978022;0,391608392;FALSE
fdg;baseline_all;gaba;GABAa;cortical;62;0,0603;0,641747023;0,767232767;0,876837448;FALSE
fdg;baseline_all;gaba;GABAa-bz;subcortical;19;0,3667;0,1225606;;0,2451212;FALSE
fdg;baseline_all;gaba;GABAa;subcortical;19;0,0228;0,92616106;;0,971568936;FALSE
fdg;baseline_all;serotonin;5HT1a;cortical;62;-0,7304;1,61E-11;0,000999001;0,015984016;TRUE
fdg;baseline_all;serotonin;5HT1b;cortical;62;0,632;3,61E-08;0,010989011;0,058608059;FALSE
fdg;baseline_all;serotonin;5HT2a;cortical;62;0,2462;0,053735225;0,308691309;0,411588412;FALSE
fdg;baseline_all;serotonin;5HT4;cortical;62;-0,4481;0,00026034;0,042957043;0,137462537;FALSE
fdg;baseline_all;serotonin;5HT6;cortical;62;0,2604;0,040940948;0,296703297;0,411588412;FALSE
fdg;baseline_all;serotonin;5HTT;cortical;62;-0,3689;0,003169683;0,152847153;0,349364921;FALSE
fdg;baseline_all;serotonin;5HT1a;subcortical;19;-0,1772;0,468019962;;0,624026616;FALSE
fdg;baseline_all;serotonin;5HT1b;subcortical;19;-0,0228;0,92616106;;0,971568936;FALSE
fdg;baseline_all;serotonin;5HT2a;subcortical;19;0,1035;0,673251528;;0,828617265;FALSE
fdg;baseline_all;serotonin;5HT4;subcortical;19;0,3404;0,153919412;;0,27363451;FALSE
fdg;baseline_all;serotonin;5HT6;subcortical;19;0,493;0,031981574;;0,092557962;FALSE
fdg;baseline_all;serotonin;5HTT;subcortical;19;-0,0088;0,971568936;;0,971568936;FALSE
fdg;baseline_all;glutamate;mGluR5;cortical;62;-0,0061;0,962661418;0,984015984;0,984015984;FALSE
fdg;baseline_all;glutamate;NMDA;cortical;62;-0,0265;0,83790139;0,892107892;0,951581752;FALSE
fdg;baseline_all;glutamate;mGluR5;subcortical;19;0,5175;0,023237901;;0,092557962;FALSE
fdg;baseline_all;glutamate;NMDA;subcortical;19;0,5544;0,013768957;;0,073434438;FALSE
fdg;baseline_declining;dopamine;D1;cortical;62;-0,4056;0,001073394;0,061938062;0,165168165;FALSE
fdg;baseline_declining;dopamine;D2;cortical;62;-0,6741;1,91E-09;0,003996004;0,031968032;TRUE
fdg;baseline_declining;dopamine;DAT;cortical;62;-0,5248;1,19E-05;0,02997003;0,095904096;FALSE
fdg;baseline_declining;dopamine;D1;subcortical;19;0,4789;0,038017138;;0,100543315;FALSE
fdg;baseline_declining;dopamine;D2;subcortical;19;0,5667;0,011414829;;0,096412556;FALSE
fdg;baseline_declining;dopamine;DAT;subcortical;19;0,2842;0,238296237;;0,346612708;FALSE
fdg;baseline_declining;ach;VAChT;cortical;62;-0,0232;0,857995808;0,922077922;0,963036963;FALSE
fdg;baseline_declining;ach;M1;cortical;62;0,2568;0,043897372;0,247752248;0,44044844;FALSE
fdg;baseline_declining;ach;A4B2;cortical;62;0,3758;0,002609461;0,227772228;0,44044844;FALSE
fdg;baseline_declining;ach;VAChT;subcortical;19;0,5632;0,01205157;;0,096412556;FALSE
fdg;baseline_declining;ach;M1;subcortical;19;0,4754;0,039655043;;0,100543315;FALSE
fdg;baseline_declining;ach;A4B2;subcortical;19;0,3281;0,17029676;;0,302749796;FALSE
fdg;baseline_declining;gaba;GABAa-bz;cortical;62;0,2263;0,076939147;0,277722278;0,444355644;FALSE
fdg;baseline_declining;gaba;GABAa;cortical;62;0,026;0,841243673;0,895104895;0,963036963;FALSE
fdg;baseline_declining;gaba;GABAa-bz;subcortical;19;0,3684;0,120645483;;0,241290966;FALSE
fdg;baseline_declining;gaba;GABAa;subcortical;19;0,0351;0,886603122;;0,931827875;FALSE
fdg;baseline_declining;serotonin;5HT1a;cortical;62;-0,7336;1,18E-11;0,000999001;0,015984016;TRUE
fdg;baseline_declining;serotonin;5HT1b;cortical;62;0,611;1,33E-07;0,013986014;0,055944056;FALSE
fdg;baseline_declining;serotonin;5HT2a;cortical;62;0,1864;0,146956043;0,444555445;0,592740593;FALSE
fdg;baseline_declining;serotonin;5HT4;cortical;62;-0,5008;3,39E-05;0,013986014;0,055944056;FALSE
fdg;baseline_declining;serotonin;5HT6;cortical;62;0,2333;0,068004157;0,333666334;0,485332849;FALSE
fdg;baseline_declining;serotonin;5HTT;cortical;62;-0,325;0,00996258;0,207792208;0,44044844;FALSE
fdg;baseline_declining;serotonin;5HT1a;subcortical;19;-0,1351;0,581361946;;0,715522396;FALSE
fdg;baseline_declining;serotonin;5HT1b;subcortical;19;0,0211;0,931827875;;0,931827875;FALSE
fdg;baseline_declining;serotonin;5HT2a;subcortical;19;0,1351;0,581361946;;0,715522396;FALSE
fdg;baseline_declining;serotonin;5HT4;subcortical;19;0,2982;0,214890107;;0,343824171;FALSE
fdg;baseline_declining;serotonin;5HT6;subcortical;19;0,4667;0,0439877;;0,100543315;FALSE
fdg;baseline_declining;serotonin;5HTT;subcortical;19;0,0333;0,892240686;;0,931827875;FALSE
fdg;baseline_declining;glutamate;mGluR5;cortical;62;-0,0272;0,833955096;0,915084915;0,963036963;FALSE
fdg;baseline_declining;glutamate;NMDA;cortical;62;-0,0089;0,945331337;0,963036963;0,963036963;FALSE
fdg;baseline_declining;glutamate;mGluR5;subcortical;19;0,5175;0,023237901;;0,099723088;FALSE
fdg;baseline_declining;glutamate;NMDA;subcortical;19;0,5123;0,024930772;;0,099723088;FALSE
t1t2;delta_all;dopamine;D1;cortical;62;-0,3821;0,002177152;0,131868132;0,351648352;FALSE
t1t2;delta_all;dopamine;D2;cortical;62;-0,5843;6,15E-07;0,070929071;0,268531469;FALSE
t1t2;delta_all;dopamine;DAT;cortical;62;-0,5066;2,66E-05;0,070929071;0,268531469;FALSE
t1t2;delta_all;dopamine;D1;subcortical;19;-0,5333;0,018696681;;0,056984622;FALSE
t1t2;delta_all;dopamine;D2;subcortical;19;-0,5404;0,01691949;;0,056984622;FALSE
t1t2;delta_all;dopamine;DAT;subcortical;19;-0,5456;0,015677039;;0,056984622;FALSE
t1t2;delta_all;ach;VAChT;cortical;62;-0,0636;0,623170422;0,824175824;0,939060939;FALSE
t1t2;delta_all;ach;M1;cortical;62;0,1468;0,254933355;0,599400599;0,874761602;FALSE
t1t2;delta_all;ach;A4B2;cortical;62;0,2314;0,070359841;0,601398601;0,874761602;FALSE
t1t2;delta_all;ach;VAChT;subcortical;19;-0,5825;0,008875794;;0,056984622;FALSE
t1t2;delta_all;ach;M1;subcortical;19;-0,3842;0,104357748;;0,163414133;FALSE
t1t2;delta_all;ach;A4B2;subcortical;19;0,386;0,102651327;;0,163414133;FALSE
t1t2;delta_all;gaba;GABAa-bz;cortical;62;0,2543;0,046083043;0,18981019;0,433851862;FALSE
t1t2;delta_all;gaba;GABAa;cortical;62;-0,0409;0,752166045;0,815184815;0,939060939;FALSE
t1t2;delta_all;gaba;GABAa-bz;subcortical;19;0,0193;0,937497831;;0,937497831;FALSE
t1t2;delta_all;gaba;GABAa;subcortical;19;-0,0193;0,937497831;;0,937497831;FALSE
t1t2;delta_all;serotonin;5HT1a;cortical;62;-0,6464;1,38E-08;0,021978022;0,268531469;FALSE
t1t2;delta_all;serotonin;5HT1b;cortical;62;0,4944;4,41E-05;0,076923077;0,268531469;FALSE
t1t2;delta_all;serotonin;5HT2a;cortical;62;-0,0168;0,896597458;0,939060939;0,939060939;FALSE
t1t2;delta_all;serotonin;5HT4;cortical;62;-0,3739;0,002759183;0,083916084;0,268531469;FALSE
t1t2;delta_all;serotonin;5HT6;cortical;62;0,1893;0,140504115;0,506493506;0,874761602;FALSE
t1t2;delta_all;serotonin;5HTT;cortical;62;-0,3605;0,00399531;0,230769231;0,461538462;FALSE
t1t2;delta_all;serotonin;5HT1a;subcortical;19;0,3754;0,11319758;;0,163414133;FALSE
t1t2;delta_all;serotonin;5HT1b;subcortical;19;-0,4386;0,060315287;;0,120630574;FALSE
t1t2;delta_all;serotonin;5HT2a;subcortical;19;-0,193;0,428613122;;0,489843569;FALSE
t1t2;delta_all;serotonin;5HT4;subcortical;19;-0,5982;0,006814905;;0,056984622;FALSE
t1t2;delta_all;serotonin;5HT6;subcortical;19;-0,5123;0,024930772;;0,056984622;FALSE
t1t2;delta_all;serotonin;5HTT;subcortical;19;-0,2754;0,253723703;;0,312275327;FALSE
t1t2;delta_all;glutamate;mGluR5;cortical;62;0,097;0,453129202;0,71028971;0,939060939;FALSE
t1t2;delta_all;glutamate;NMDA;cortical;62;-0,0195;0,880325869;0,927072927;0,939060939;FALSE
t1t2;delta_all;glutamate;mGluR5;subcortical;19;-0,3667;0,1225606;;0,163414133;FALSE
t1t2;delta_all;glutamate;NMDA;subcortical;19;-0,5193;0,022694202;;0,056984622;FALSE
t1t2;delta_declining;dopamine;D1;cortical;62;-0,3339;0,007989075;0,146853147;0,358498644;FALSE
t1t2;delta_declining;dopamine;D2;cortical;62;-0,481;7,58E-05;0,052947053;0,211788212;FALSE
t1t2;delta_declining;dopamine;DAT;cortical;62;-0,4829;7,04E-05;0,026973027;0,211788212;FALSE
t1t2;delta_declining;dopamine;D1;subcortical;19;-0,5439;0,016082818;;0,036760728;TRUE
t1t2;delta_declining;dopamine;D2;subcortical;19;-0,5947;0,007235259;;0,026813029;TRUE
t1t2;delta_declining;dopamine;DAT;subcortical;19;-0,586;0,008379072;;0,026813029;TRUE
t1t2;delta_declining;ach;VAChT;cortical;62;-0,2434;0,056574921;0,334665335;0,637584638;FALSE
t1t2;delta_declining;ach;M1;cortical;62;0,1295;0,315930957;0,579420579;0,927072927;FALSE
t1t2;delta_declining;ach;A4B2;cortical;62;0,0967;0,454544089;0,761238761;0,936909245;FALSE
t1t2;delta_declining;ach;VAChT;subcortical;19;-0,6368;0,00336607;;0,021242954;TRUE
