label;region;5HT1a;5HT1b;5HT2a;5HT4;5HT6;5HTT;A4B2;D1;D2;DAT;GABAa-bz;GABAa;M1;NMDA;VAChT;mGluR5
51;Right-Putamen;-1,064032812;0,528833786;-1,111698271;3,944830614;3,120113837;2,479753794;0,709282837;4,446769416;4,358821139;3,647327418;-0,379367978;-0,820345595;2,062308672;1,729462879;4,674985973;0,868150721
52;Right-Pallidum;-1,511955995;1,734366767;-1,448821187;2,501137909;1,122486903;2,416961677;0,449304766;1,502065143;1,938760674;2,95412652;-1,359267249;-1,424701984;-0,737151522;0,884773922;1,179988474;-0,768727187
53;Right-Hippocampus;1,776702069;-1,062042844;-0,958503398;-0,213123672;-0,361493514;-0,338993094;-0,236322324;-0,374960036;-0,26643543;0,142765953;-0,501848661;-0,015310074;-0,30316664;0,776162846;0,198133286;-0,021999253
54;Right-Amygdala;1,311465419;-0,424418271;-0,855287675;-0,307123345;-0,466223193;0,961013989;-0,442666309;0,163970054;0,31830983;0,454279861;-0,890322067;0,000796867;0,652527806;0,422584656;0,483832237;0,080735758
58;Right-Accumbens-area;-0,452549675;0,927851395;-0,855656153;0,574992545;1,073281134;1,442089692;0,687685517;2,26347441;2,533110313;2,827883874;-0,107869323;0,197202046;1,851926248;0,904238013;2,235499374;0,66469941
60;Right-VentralDC;-1,240045072;-0,256107997;-1,432106046;-0,611284618;-1,23005135;2,754469934;2,126396899;-0,532280945;0,217016614;0,591086072;-1,824645077;-1,732962385;-1,591789196;-0,406593439;0,126212851;-1,523052367
63;nan;-1,08906912;-1,253597769;-0,832408234;-1,384504877;-1,6550703;-1,224116815;-0,639039771;-0,561867585;-0,465387232;-0,235619074;-1,5842572;-1,042895841;-1,626571337;-1,103081989;-0,473118398;-1,854544133
77;WM-Hypointensities;-1,628522437;-1,832844103;-1,753353606;-0,730092894;-0,137489602;-0,961321793;-1,325603482;-0,928089808;0,440907119;0,306791187;-1,526824767;-2,137924647;-1,24832496;-2,115262147;-0,61427277;-1,626572032
251;CC_Posterior;-1,16642996;-1,720214209;-1,497038387;-1,770564061;-1,975457412;-1,360217184;-1,718580867;-0,969620839;-0,776370676;-0,401083902;-1,057326806;-1,988210336;-1,647152317;-1,837063433;-0,937161526;-1,766058884
252;CC_Mid_Posterior;-1,201820773;-1,646637709;-1,400293041;-1,499615971;-2,087451043;-0,856300814;-1,079449478;-0,964637183;-0,63032816;-0,295224948;-0,215276159;-1,947220382;-1,802778294;-1,871969741;-0,876475909;-1,938772055
253;CC_Central;-1,165921879;-1,49524273;-1,228741438;-1,225119754;-1,965242807;-0,615184754;-0,530713085;-0,870730432;-0,378562643;0,08261889;-0,715515823;-1,960219365;-1,547946069;-2,118352829;-0,723395322;-1,813613622
254;CC_Mid_Anterior;-1,331922547;-1,603863359;-1,607032805;-1,770564061;-1,39873895;-1,354147912;-1,436753541;-0,974331073;-0,191949259;0,071623241;-1,321795238;-2,032047384;-1,357312936;-2,264349383;-0,671610419;-1,729715827
255;CC_Anterior;-0,993752836;-1,159851391;-0,909200422;-0,529992357;-0,885825124;0,328861384;-1,695501418;-0,824687583;-0,455298209;0,1737022;-1,477165028;-1,659535394;-1,490311604;-1,703161929;-0,762612915;-1,481565733
1002;ctx-lh-caudalanteriorcingulate;0,402071037;0,836495442;0,643034078;0,209014014;0,533434225;0,016309557;0,318546706;0,1396245;-0,288548304;-0,180235193;1,156400849;0,434282144;0,300091722;0,832869466;0,082892962;0,994927284
1003;ctx-lh-caudalmiddlefrontal;0,129244649;0,864143889;0,871413296;0,051381465;0,49042678;-0,714252992;0,440434362;-0,359080144;-0,443930115;-0,724393031;0,527714163;0,557340629;0,258841117;-0,472317092;-0,395251348;0,460686635
1005;ctx-lh-cuneus;-0,239459901;0,767794619;0,691260424;-0,162842866;0,761418798;-0,161720947;-0,331470252;-0,246123252;-0,433092257;-0,561724028;0,962837154;0,877438403;0,709786278;0,755855687;-0,40668389;0,567116474
1006;ctx-lh-entorhinal;2,301869218;-0,843420184;0,03763599;0,265010963;-0,625201291;0,773136836;-1,278091744;-0,316705384;-0,188053148;-0,163024059;-1,209236512;0,339081054;-0,019486717;0,004632427;-0,312644262;0,036484532
1007;ctx-lh-fusiform;1,088733418;-0,152434632;0,814629121;0,152670856;0,369593316;-0,401026672;-0,257933893;0,041918183;-0,192823405;-0,3049516;0,758655874;0,903303567;0,238843524;0,592779108;-0,383189438;0,419739917
1008;ctx-lh-inferiorparietal;0,203171826;0,565733745;0,907725354;0,520015256;0,075455975;-0,645378856;-0,553722709;-0,295729377;-0,351898945;-0,781834523;0,527657514;0,735745482;0,303876344;-0,863977699;-0,439871757;0,568431852
1009;ctx-lh-inferiortemporal;1,151163172;-0,196050021;0,945973598;0,532198298;0,174408259;-0,526376935;-0,825707475;-0,22011476;-0,09461868;-0,536211296;0,078740318;0,365546632;0,475165191;-0,344649175;-0,527212957;0,174027066
1010;ctx-lh-isthmuscingulate;0,093523264;-0,019828835;0,581564721;-0,030475018;-0,031034511;-0,283688361;-0,555226683;0,26642127;-0,488348101;-0,319053584;0,82710654;0,503899078;0,05039591;0,909691108;-0,244159853;0,514212794
1011;ctx-lh-lateraloccipital;-0,316900599;0,362304051;0,579810667;-0,060720022;-0,127348157;-0,496469034;-0,806705776;-0,5240489;-0,452148419;-0,770436467;0,603876157;0,381577335;0,306946567;-1,129838618;-0,530573503;-0,087975566
1012;ctx-lh-lateralorbitofrontal;0,467284716;0,249066626;0,726830606;0,209681207;-0,077501698;-0,134365073;-0,262925379;0,057983369;-0,285087643;-0,349365613;0,164033272;0,544550982;0,304742235;-0,383806136;-0,281956967;0,280528303
1013;ctx-lh-lingual;-0,140119364;0,555713434;0,697669201;-0,317533885;-0,074291208;-0,223913615;-0,627048937;0,083390977;-0,476459082;-0,386966505;1,306710687;1,215151955;-0,077964247;1,115519817;-0,433496274;0,230630561
1014;ctx-lh-medialorbitofrontal;0,799809349;0,461510571;0,869501617;0,243633777;0,044755713;-0,117830157;-0,27917358;0,483213979;-0,197019072;-0,191192996;0,651907226;0,937556115;0,616008985;0,391387284;-0,123673891;0,771917079
1015;ctx-lh-middletemporal;0,833715272;0,290290099;1,097570403;0,711212076;0,883717598;-0,530142514;-0,255647549;-0,132163869;-0,075237609;-0,581781079;0,52173533;0,695577939;0,666243842;-0,423070591;-0,433465074;0,526850036
1016;ctx-lh-parahippocampal;1,914771164;-0,925102889;0,242109217;-0,118830515;-0,445477114;-0,045456934;-0,482732758;0,009805158;-0,242169452;-0,084629965;0,012449718;0,66111543;-0,20544168;-0,105602848;-0,339611856;0,218699907
1017;ctx-lh-paracentral;-0,102889605;0,252872688;0,08853793;-0,337554759;0,141166199;-0,344813277;-0,120072208;-0,466003263;-0,470906775;-0,627615172;0,345210632;0,108416938;0,329236951;0,685998853;-0,044995847;0,419526634
1018;ctx-lh-parsopercularis;0,770362996;1,207967472;1,163343902;0,30238318;1,045885234;-0,367345982;0,403131228;-0,117335324;-0,295114223;-0,40489938;0,955799672;0,85599151;0,674346404;0,11629011;-0,24773465;1,020832633
1019;ctx-lh-parsorbitalis;0,108346955;0,494940344;0,72546303;0,159059274;0,413582706;-0,350153846;0,079619859;-0,174344322;-0,381572617;-0,511673354;0,535158847;0,390950394;0,297946674;-0,04601042;-0,403133049;0,355031453
1020;ctx-lh-parstriangularis;0,263057875;0,943989802;0,919239184;0,182196498;0,795352245;-0,418512054;0,488098247;-0,25538208;-0,369007473;-0,51036567;0,683630442;0,572378308;0,579940706;-0,563828166;-0,38554821;0,466649604
