region,5HT1a,5HT1b,5HT2a,5HT4,5HT6,5HTT,A4B2,D1,D2,DAT,GABAa-bz,GABAa,M1,NMDA,VAChT,mGluR5
ctx-lh-caudalanteriorcingulate,0.4020710367820186,0.8364954423076387,0.643034078237937,0.2090140144852273,0.5334342252216271,0.0163095572320529,0.3185467062941007,0.1396244995161049,-0.2885483039124317,-0.1802351929420465,1.156400849429655,0.4342821435079317,0.3000917216628516,0.8328694664999201,0.0828929618955213,0.994927284402887
ctx-lh-caudalmiddlefrontal,0.1292446490573071,0.8641438891858653,0.8714132959385105,0.0513814652093992,0.4904267803333725,-0.7142529916629797,0.4404343624531895,-0.3590801439151507,-0.4439301153410557,-0.7243930313126673,0.5277141632108658,0.5573406294728028,0.2588411168190818,-0.4723170916647781,-0.3952513477104919,0.4606866349987587
ctx-lh-cuneus,-0.2394599008159645,0.7677946194198084,0.6912604237898436,-0.1628428662608944,0.7614187976998346,-0.1617209472046107,-0.3314702515353817,-0.2461232517756158,-0.4330922571307787,-0.5617240281898531,0.9628371536398592,0.877438403338941,0.7097862781530526,0.7558556867121355,-0.4066838895546565,0.5671164739987062
ctx-lh-entorhinal,2.301869217683472,-0.8434201842328122,0.0376359902563545,0.2650109626473982,-0.6252012907145006,0.7731368359407009,-1.2780917440830697,-0.3167053844729421,-0.1880531478767856,-0.1630240590660418,-1.209236511941005,0.3390810544108881,-0.0194867168319893,0.0046324273081858,-0.3126442620756193,0.0364845317833471
ctx-lh-fusiform,1.0887334181035595,-0.152434632447517,0.8146291213542096,0.1526708556419992,0.36959331579946,-0.4010266724309667,-0.2579338932699548,0.0419181830443468,-0.1928234053773851,-0.3049516004833793,0.7586558743172934,0.9033035669925188,0.2388435244953935,0.5927791080785796,-0.3831894383734281,0.4197399173695999
ctx-lh-inferiorparietal,0.2031718259600536,0.565733745409336,0.9077253543462214,0.5200152561953719,0.075455974896559,-0.6453788559009538,-0.5537227089863979,-0.2957293770318439,-0.3518989448202188,-0.7818345233111732,0.5276575138368464,0.7357454816842173,0.3038763435906462,-0.8639776988827047,-0.4398717567941635,0.5684318520017959
ctx-lh-inferiortemporal,1.15116317243939,-0.1960500207159515,0.9459735978521744,0.5321982983496808,0.174408258803002,-0.526376935455805,-0.8257074754435696,-0.2201147604588706,-0.094618679881662,-0.5362112960558377,0.0787403179877575,0.3655466319251036,0.475165190855093,-0.3446491745179411,-0.5272129573022681,0.1740270659975872
ctx-lh-isthmuscingulate,0.0935232635915992,-0.0198288348882201,0.5815647210042418,-0.0304750178603814,-0.0310345113876647,-0.2836883605572996,-0.5552266829318306,0.2664212695197771,-0.4883481006911257,-0.3190535839002424,0.8271065404049794,0.5038990782923451,0.0503959100544998,0.9096911084910702,-0.2441598534200148,0.5142127938193414
ctx-lh-lateraloccipital,-0.3169005989033958,0.3623040508771732,0.5798106668677979,-0.0607200220123713,-0.1273481572898641,-0.4964690342529095,-0.8067057761067211,-0.5240489001006048,-0.4521484188916055,-0.7704364667688198,0.6038761569904179,0.3815773352693021,0.3069465673388944,-1.1298386175237352,-0.530573503359302,-0.0879755663448628
ctx-lh-lateralorbitofrontal,0.4672847163345123,0.2490666255782069,0.7268306059428047,0.2096812067613916,-0.0775016976501952,-0.1343650728822455,-0.2629253792358378,0.0579833693077254,-0.2850876428331183,-0.3493656132289713,0.1640332717517022,0.544550981698334,0.3047422351955382,-0.3838061361220677,-0.2819569670024799,0.2805283030956358
ctx-lh-lingual,-0.1401193638870632,0.5557134338792817,0.6976692009509315,-0.3175338849731627,-0.0742912081180114,-0.2239136151142828,-0.6270489369833964,0.0833909765217569,-0.4764590823745616,-0.3869665052978553,1.3067106865860776,1.2151519545934255,-0.0779642465586704,1.115519816962991,-0.4334962744833107,0.2306305609036485
ctx-lh-medialorbitofrontal,0.7998093491368045,0.4615105714940325,0.8695016171703172,0.2436337772598431,0.0447557130093672,-0.1178301566331386,-0.2791735796245788,0.483213978892382,-0.197019071641784,-0.1911929961003688,0.6519072255339613,0.9375561150061644,0.6160089845296681,0.3913872841303528,-0.1236738914524391,0.7719170788099253
ctx-lh-middletemporal,0.8337152720808777,0.2902900994716076,1.0975704033098204,0.7112120764426155,0.8837175979362347,-0.5301425137786293,-0.2556475494435649,-0.1321638689813458,-0.0752376089265926,-0.5817810787640996,0.5217353297427759,0.6955779394109088,0.6662438424955998,-0.4230705906591012,-0.4334650737259932,0.5268500364966913
ctx-lh-parahippocampal,1.9147711641843248,-0.9251028887072714,0.2421092168246517,-0.1188305147183143,-0.4454771139950818,-0.0454569337932765,-0.4827327576652426,0.0098051580790415,-0.2421694516783171,-0.0846299646915378,0.0124497180697484,0.6611154295791529,-0.2054416797176634,-0.1056028481218405,-0.3396118563164143,0.2186999073660412
ctx-lh-paracentral,-0.1028896052385829,0.2528726878632474,0.0885379301001804,-0.3375547590820277,0.141166198613362,-0.3448132769265266,-0.12007220779364,-0.4660032625545304,-0.4709067748629563,-0.6276151716055498,0.3452106315347065,0.1084169384972095,0.3292369514790909,0.6859988526103857,-0.0449958471166576,0.4195266341939321
ctx-lh-parsopercularis,0.7703629960321074,1.207967472256943,1.163343901729924,0.3023831803257236,1.0458852338110678,-0.3673459816668161,0.4031312281694954,-0.11733532400662,-0.295114222594625,-0.4048993800526587,0.9557996724208324,0.8559915095786385,0.6743464035026447,0.1162901100510367,-0.2477346501392482,1.0208326332001565
ctx-lh-parsorbitalis,0.1083469553927066,0.4949403437391123,0.7254630297526302,0.1590592736903096,0.4135827063409318,-0.3501538463596819,0.0796198588522961,-0.1743443222031881,-0.3815726169340539,-0.5116733541974671,0.5351588469062583,0.3909503940548103,0.2979466739130602,-0.0460104195520752,-0.4031330492008707,0.3550314528904017
ctx-lh-parstriangularis,0.2630578747084191,0.943989802307848,0.9192391841568632,0.1821964983837112,0.7953522445303918,-0.4185120538790112,0.4880982470132473,-0.2553820801710005,-0.3690074727221965,-0.5103656695235793,0.6836304419666502,0.5723783083901491,0.5799407061351216,-0.5638281659035685,-0.3855482098559321,0.4666496040286211
ctx-lh-pericalcarine,-0.7898387075100729,2.092535824516044,0.903103965385004,-0.4511269711973698,1.0183740021855463,-0.0496294231824133,-0.2655075437478467,-0.1649238124151711,-0.5193044711222039,-0.3359827177969151,1.454277094360167,1.394125773006223,0.8213444417065019,0.7283406257980053,-0.3601969670542675,0.2274432004704151
ctx-lh-postcentral,0.1039484254921513,0.2706751691863736,0.3877168270319659,-0.1255395639608289,-0.1167183116175345,-0.3323613567112398,-0.2834387505909405,-0.4291213803468967,-0.4085738530526491,-0.716978109473564,0.3471814008582904,0.4638004971408873,0.2202106291669965,-0.7182356391955871,-0.3402850019618141,0.2614292555417418
ctx-lh-posteriorcingulate,0.398886438677198,0.4486915636292378,0.6793473699617735,0.1798537845332488,0.4085859652011403,0.0878297281583471,0.2633953758381624,0.1899342543976284,-0.3721901549123212,-0.1915856708718637,1.1086240531343965,0.5577158630615132,0.3969025667667187,0.7619032568744516,0.0989431703218535,1.0630511550331485
ctx-lh-precentral,0.0340323574062882,0.6494312886601199,0.5057202752947766,-0.1064866436687501,0.1977802730472569,-0.5228795378077791,0.1832049965606399,-0.4491284056423104,-0.4384394438961031,-0.724657104493732,0.4146659287688599,0.2899226090078736,0.2045482734572775,-0.2908492813727173,-0.2329269850505762,0.2699877837011128
ctx-lh-precuneus,0.1426997079692554,0.439036461017194,0.8071088368420225,0.2244271754179823,0.8457993790322621,-0.4533204503085987,-0.0275326815751281,0.0429821727350002,-0.3668850365063452,-0.5297315261845122,0.8455650210053366,0.7416787915561821,0.7575330457608653,1.0400499889167032,-0.2945605046011928,0.8919353900658269
ctx-lh-rostralanteriorcingulate,0.7586737536631172,0.516649203726228,0.8342115728263418,0.3107420043227841,0.688183634274459,0.1960747655027188,-0.1891730095937265,0.4147944528183577,-0.1757974706748068,0.1033354367880768,1.3893026330573215,0.8633737302909285,0.3189611509871122,0.8114689094417229,-0.0779050176539347,1.0154817559812916
ctx-lh-rostralmiddlefrontal,0.4406434555001385,0.9347925142395834,1.107560400847718,0.3021033093523123,0.4962155057875025,-0.5003128169390821,0.4717533959554775,-0.1906102751006069,-0.3724446577601476,-0.7570672938337252,0.6070600728001058,0.6925988446724841,0.6175866737260782,-1.0387461349706495,-0.4317355849482913,0.5272234534720839
ctx-lh-superiorfrontal,0.4195875593316548,0.7678379565582786,0.9116404821008663,0.1239826703091584,0.4486612966985356,-0.6203553669046026,0.2410877470335161,-0.2282026222344833,-0.3975741768114064,-0.861785409486331,0.4770317586347453,0.5192978929270127,0.4612981744476101,-0.2384679391415631,-0.3865257760713551,0.572529309487171
ctx-lh-superiorparietal,-0.0429241112250319,0.1801702920855468,0.5317115334378322,0.0675991385823304,-0.1262787441467542,-0.7478939729852525,-0.5387639740638336,-0.4270236105486155,-0.4227457044586168,-0.8933298342624717,0.3799327539723701,0.555706758159652,0.265606073969112,-0.7039358563858069,-0.4826089916223222,0.2417855681628855
ctx-lh-superiortemporal,0.9884432250661151,-0.0582919192485629,0.7540530340648152,0.4583569454996047,0.4235810998238811,0.012187632307106,-0.5464001414914176,-0.1766055479254751,-0.1085417258942892,-0.4886348977505819,0.2584615377514085,0.5554946161175772,0.4607040067843485,-0.097030222536711,-0.292103986852165,0.5187871525053179
ctx-lh-supramarginal,0.408317993524466,0.513946679735993,0.8867516627782434,0.48456256570094,-0.087154462870355,-0.4871683615613509,-0.5090719687223589,-0.2658398159897421,-0.3379813403219369,-0.6673875049364579,0.6958193838882045,0.6834961893262206,0.2129116757417621,-0.8433726156747391,-0.4041906916409525,0.5928883241915281
ctx-lh-transversetemporal,0.791414030861808,0.6734751489021621,1.100334724311414,0.1158468809829968,0.8649961337070515,0.3065254818522812,-0.0553420636557801,0.2214304162423488,-0.2329955637384138,-0.1651813353211228,1.7401428922124422,1.2443111145997812,0.6790156660464636,1.766596606014003,0.193577534556796,1.1597947591941469
ctx-lh-insula,1.6671979139194475,0.5648511713763436,0.7770322882136762,0.270784011388213,1.1472521457201663,0.7294824937321768,-0.0086920829348431,0.4702692008448102,0.1537853948281774,0.185504731575428,0.9334773769372856,1.1623165689377302,0.7178808731344919,0.8599270430194949,0.05531029288826,1.1721048927759834
ctx-rh-caudalanteriorcingulate,0.5692363853971706,0.7997387385327641,0.5521718727226776,0.136237096665843,0.4833648389214456,0.1226573942113004,0.3330959506637895,0.2799315875347166,-0.2648076734619736,-0.1858956151592828,1.35886581136741,0.4118234120581597,0.522681541916836,0.1369800924792774,0.1360162941813661,1.1423743089032783
ctx-rh-caudalmiddlefrontal,0.1399434067986915,0.9145490781558578,0.7837203066998405,-0.0422382184917223,0.275849289142434,-0.7793893181751237,0.3851397308510836,-0.256976121568611,-0.4582044558016414,-0.7027626294808386,0.3881663129806054,0.5150951627944752,0.3078371302612181,0.0930019709231234,-0.3858637362617889,0.5233795225693381
ctx-rh-cuneus,-0.1507160306781946,0.8605788007560948,0.7853870243804502,-0.1878929901239974,0.5720343641920069,-0.0790692047136875,-0.5163673516353572,-0.2587570851726019,-0.4443951797591869,-0.6024340689217654,1.1607079445710766,0.9831610713009886,0.6508209384973442,-0.2024081175299553,-0.432955854652007,0.5070833564398065
ctx-rh-entorhinal,1.8754316558858248,-0.8617125906358173,-0.1453199351492071,0.0917465358951854,-0.8091343006154695,0.6502929694938564,-1.4335882907390871,-0.3988129450944511,-0.2777577338221561,-0.2757631753163868,-1.7007897883004657,0.1320001461103932,-0.1472111980633543,-0.4043667272716273,-0.451816541492935,-0.2240214161982924
ctx-rh-fusiform,1.011441599562381,-0.1072569778702131,0.7362715671489682,0.0096524723270605,0.4312634498818239,-0.4183991226639848,-0.1653087415246714,0.0824742636690944,-0.1526406498017404,-0.3256639321569762,0.5706974697382596,0.9250900941405809,0.3406354997654153,0.370165179613755,-0.4079075349599659,0.3955968588200615
ctx-rh-inferiorparietal,0.1902601260074555,0.6322517006752139,0.8599691875703835,0.4544968220596766,-0.362978647137773,-0.690702463105217,-0.6835957632393461,-0.2637234231525062,-0.3737743156758412,-0.6826956523695458,0.4847969899556903,0.599983032880154,0.5275532677677877,-0.640461002915165,-0.418946125805808,0.5442110493869425
