biomarker,correlation_type,neurotransmitter,receptor,region_type,n,rho,pvalue,pvalue_fdr,sig_fdr,ci_lower_95,ci_upper_95,rho_spin_observed,p_spin,n_spin_regions,n_spin_lh,n_spin_rh,n_spins,spin_error,q_spin_fdr,spin_fdr_significant,spin_significant
fdg,baseline_all,dopamine,D1,cortical,62,-0.3986,0.001333,0.002665,True,-0.5946,-0.1578,-0.3986049205509809,0.07892107892107893,62,31,31,1000,,0.3015491970715852,False,False
fdg,baseline_all,dopamine,D2,cortical,62,-0.674,0.0,0.0,True,-0.7935,-0.5045,-0.6740449749439702,0.008991008991008992,62,31,31,1000,,0.1041921041921042,False,True
fdg,baseline_all,dopamine,DAT,cortical,62,-0.5455,5e-06,1.4e-05,True,-0.7038,-0.3356,-0.5455163556697137,0.029970029970029972,62,31,31,1000,,0.16678973200712333,False,True
fdg,baseline_all,ach,VAChT,cortical,62,-0.0847,0.512582,0.512582,False,-0.3344,0.176,-0.08473722646118205,0.7662337662337663,62,31,31,1000,,0.9534543126776136,False,False
fdg,baseline_all,ach,M1,cortical,62,0.2721,0.032404,0.060741,False,0.0163,0.4945,0.2720908564377629,0.23876123876123875,62,31,31,1000,,0.5934259914842439,False,False
fdg,baseline_all,ach,A4B2,cortical,62,0.367,0.003343,0.020057,True,0.1216,0.5702,0.3670267684017023,0.24475524475524477,62,31,31,1000,,0.5983450511752398,False,False
fdg,baseline_all,gaba,GABAa-bz,cortical,62,0.2641,0.038037,0.152146,False,0.0077,0.488,0.2641333635516608,0.21978021978021978,62,31,31,1000,,0.5683205683205683,False,False
fdg,baseline_all,gaba,GABAa,cortical,62,0.0603,0.641747,0.855663,False,-0.1998,0.3124,0.060260381254564226,0.7672327672327672,62,31,31,1000,,0.9534543126776136,False,False
fdg,baseline_all,serotonin,5HT1a,cortical,62,-0.7304,0.0,0.0,True,-0.8313,-0.5829,-0.7304021555740224,0.000999000999000999,62,31,31,1000,,0.042624042624042624,True,True
fdg,baseline_all,serotonin,5HT1b,cortical,62,0.632,0.0,0.0,True,0.4478,0.7647,0.6319911359572915,0.01098901098901099,62,31,31,1000,,0.1041921041921042,False,True
fdg,baseline_all,serotonin,5HT2a,cortical,62,0.2462,0.053735,0.092118,False,-0.0115,0.4732,0.24620382261841806,0.3086913086913087,62,31,31,1000,,0.6993360621679205,False,False
fdg,baseline_all,serotonin,5HT4,cortical,62,-0.4481,0.00026,0.001041,True,-0.6322,-0.216,-0.4480622497544761,0.04295704295704296,62,31,31,1000,,0.21562750974515682,False,True
fdg,baseline_all,serotonin,5HT6,cortical,62,0.2604,0.040941,0.081882,False,0.0037,0.4849,0.2604064365037395,0.2967032967032967,62,31,31,1000,,0.6842886842886843,False,False
fdg,baseline_all,serotonin,5HTT,cortical,62,-0.3689,0.00317,0.009509,True,-0.5717,-0.1237,-0.36894059580468885,0.15284715284715283,62,31,31,1000,,0.44975713941231177,False,False
