biomarker,correlation_type,neurotransmitter,receptor,region_type,n,rho,pvalue,pvalue_fdr,sig_fdr,ci_lower_95,ci_upper_95,rho_spin_observed,p_spin,n_spin_regions,n_spin_lh,n_spin_rh,n_spins,spin_error,q_spin_fdr,spin_fdr_significant,spin_significant
fdg,baseline_all,serotonin,5HT1a,cortical,62,-0.7304,0.0,0.0,True,-0.8313,-0.5829,-0.7304021555740224,0.000999000999000999,62,31,31,1000,,0.042624042624042624,True,True
fdg,baseline_declining,serotonin,5HT1a,cortical,62,-0.7336,0.0,0.0,True,-0.8335,-0.5874,-0.7336254438316839,0.000999000999000999,62,31,31,1000,,0.042624042624042624,True,True
t1t2,baseline_declining,serotonin,5HT4,cortical,62,-0.6404,0.0,0.0,True,-0.7705,-0.459,-0.6404019037546271,0.000999000999000999,62,31,31,1000,,0.042624042624042624,True,True
volume,delta_declining,serotonin,5HT1a,cortical,62,-0.6561,0.0,0.0,True,-0.7813,-0.4801,-0.6560650701317016,0.000999000999000999,62,31,31,1000,,0.042624042624042624,True,True
thickness,delta_declining,serotonin,5HT1a,cortical,62,-0.6321,0.0,0.0,True,-0.7648,-0.448,-0.6321422275943693,0.000999000999000999,62,31,31,1000,,0.042624042624042624,True,True
thickness,baseline_all,serotonin,5HT4,cortical,62,-0.5984,0.0,2e-06,True,-0.7414,-0.4036,-0.5984487925260004,0.000999000999000999,62,31,31,1000,,0.042624042624042624,True,True
