correlation_type,negative,positive,total,percent_positive,percent_negative
baseline_all,23,21,44,47.72727272727273,52.27272727272727
baseline_declining,20,21,41,51.21951219512195,48.78048780487805
delta_all,20,7,27,25.925925925925927,74.07407407407408
delta_declining,19,9,28,32.142857142857146,67.85714285714286
