biomarker,correlation_type,neurotransmitter,receptor,region_type,n,rho,pvalue,pvalue_fdr,sig_fdr,ci_lower_95,ci_upper_95,direction,time_type,population
t1t2,baseline_all,dopamine,DAT,subcortical,19,0.5526,0.014135,0.042405,True,0.1169,0.8099,positive,baseline,all
t1t2,baseline_all,serotonin,5HT6,cortical,62,-0.3192,0.011452,0.022903,True,-0.5324,-0.0678,negative,baseline,all
t1t2,baseline_declining,serotonin,5HT1b,subcortical,19,0.5789,0.009396,0.028188,True,0.1549,0.8228,positive,baseline,declining
t1t2,delta_declining,dopamine,DAT,subcortical,19,-0.586,0.008379,0.010055,True,-0.8262,-0.1653,negative,delta,declining
t1t2,baseline_all,serotonin,5HT1a,cortical,62,-0.3325,0.008285,0.019885,True,-0.543,-0.0826,negative,baseline,all
t1t2,baseline_all,serotonin,5HT1b,subcortical,19,0.5877,0.008139,0.019885,True,0.1679,0.8271,positive,baseline,all
t1t2,delta_declining,dopamine,D1,cortical,62,-0.3339,0.007989,0.010055,True,-0.5442,-0.0842,negative,delta,declining
t1t2,delta_declining,dopamine,D2,subcortical,19,-0.5947,0.007235,0.010055,True,-0.8305,-0.1783,negative,delta,declining
t1t2,delta_all,serotonin,5HT4,subcortical,19,-0.5982,0.006815,0.016356,True,-0.8322,-0.1836,negative,delta,all
t1t2,baseline_all,serotonin,5HT1b,cortical,62,-0.3502,0.005272,0.019885,True,-0.557,-0.1024,negative,baseline,all
t1t2,delta_all,serotonin,5HTT,cortical,62,-0.3605,0.003995,0.011986,True,-0.5651,-0.1142,negative,delta,all
t1t2,delta_declining,glutamate,NMDA,subcortical,19,-0.6281,0.003983,0.015932,True,-0.8463,-0.2294,negative,delta,declining
t1t2,delta_declining,ach,VAChT,subcortical,19,-0.6368,0.003366,0.020196,True,-0.8504,-0.2432,negative,delta,declining
t1t2,delta_all,serotonin,5HT4,cortical,62,-0.3739,0.002759,0.011037,True,-0.5755,-0.1294,negative,delta,all
t1t2,baseline_all,dopamine,D2,cortical,62,-0.374,0.002747,0.016484,True,-0.5756,-0.1295,negative,baseline,all
t1t2,delta_declining,serotonin,5HT4,subcortical,19,-0.6579,0.0022,0.006601,True,-0.8601,-0.277,negative,delta,declining
t1t2,delta_all,dopamine,D1,cortical,62,-0.3821,0.002177,0.004354,True,-0.5819,-0.1388,negative,delta,all
t1t2,delta_declining,serotonin,5HTT,cortical,62,-0.3901,0.00172,0.006601,True,-0.5881,-0.1481,negative,delta,declining
t1t2,baseline_all,gaba,GABAa,subcortical,19,-0.7105,0.000651,0.002605,True,-0.8838,-0.3658,negative,baseline,all
t1t2,baseline_declining,gaba,GABAa,subcortical,19,-0.7193,0.000518,0.002073,True,-0.8877,-0.3812,negative,baseline,declining
t1t2,baseline_declining,glutamate,mGluR5,cortical,62,-0.4285,0.000511,0.002045,True,-0.6175,-0.1928,negative,baseline,declining
t1t2,delta_declining,serotonin,5HT1b,cortical,62,0.4583,0.00018,0.001079,True,0.2282,0.6399,positive,delta,declining
t1t2,delta_declining,serotonin,5HT1a,cortical,62,-0.5913,0.0,5e-06,True,-0.7364,-0.3943,negative,delta,declining
t1t2,baseline_declining,serotonin,5HT1a,cortical,62,-0.598,0.0,2e-06,True,-0.7411,-0.403,negative,baseline,declining
t1t2,baseline_declining,serotonin,5HT4,cortical,62,-0.6404,0.0,0.0,True,-0.7705,-0.459,negative,baseline,declining
t1t2,delta_all,serotonin,5HT1a,cortical,62,-0.6464,0.0,0.0,True,-0.7747,-0.4671,negative,delta,all
t1t2,delta_declining,dopamine,DAT,cortical,62,-0.4829,7e-05,0.000227,True,-0.6581,-0.2579,negative,delta,declining
t1t2,baseline_all,serotonin,5HTT,subcortical,19,0.8333,9e-06,5.6e-05,True,0.6007,0.9359,positive,baseline,all
t1t2,baseline_all,glutamate,mGluR5,cortical,62,-0.5511,3e-06,1.4e-05,True,-0.7078,-0.3426,negative,baseline,all
t1t2,baseline_all,serotonin,5HT4,cortical,62,-0.5753,1e-06,1.2e-05,True,-0.7251,-0.3736,negative,baseline,all
t1t2,delta_all,dopamine,D2,cortical,62,-0.5843,1e-06,4e-06,True,-0.7315,-0.3853,negative,delta,all
t1t2,baseline_declining,dopamine,D2,cortical,62,-0.5875,1e-06,3e-06,True,-0.7337,-0.3894,negative,baseline,declining
thickness,delta_all,gaba,GABAa-bz,cortical,62,0.5191,1.5e-05,3.1e-05,True,0.3025,0.6847,positive,delta,all
thickness,baseline_declining,dopamine,D2,cortical,62,-0.3207,0.011032,0.033097,True,-0.5337,-0.0695,negative,baseline,declining
thickness,baseline_all,dopamine,D2,cortical,62,-0.3344,0.007889,0.023667,True,-0.5446,-0.0848,negative,baseline,all
thickness,delta_declining,glutamate,NMDA,cortical,62,0.3538,0.00479,0.00958,True,0.1065,0.5598,positive,delta,declining
thickness,baseline_declining,gaba,GABAa-bz,cortical,62,0.3551,0.004619,0.009239,True,0.1081,0.5609,positive,baseline,declining
thickness,delta_all,serotonin,5HT1b,cortical,62,0.4076,0.001008,0.002015,True,0.1683,0.6016,positive,delta,all
thickness,baseline_declining,serotonin,5HT1b,cortical,62,0.4388,0.00036,0.000719,True,0.205,0.6253,positive,baseline,declining
thickness,delta_all,serotonin,5HT4,cortical,62,-0.4417,0.000326,0.000978,True,-0.6274,-0.2084,negative,delta,all
thickness,delta_declining,serotonin,5HT1b,cortical,62,0.4443,0.000297,0.000594,True,0.2116,0.6294,positive,delta,declining
thickness,baseline_declining,serotonin,5HT4,cortical,62,-0.4468,0.000272,0.000719,True,-0.6313,-0.2145,negative,baseline,declining
thickness,baseline_all,serotonin,5HT1a,cortical,62,-0.4479,0.000262,0.000785,True,-0.6321,-0.2158,negative,baseline,all
thickness,delta_declining,gaba,GABAa-bz,cortical,62,0.4481,0.00026,0.000521,True,0.216,0.6322,positive,delta,declining
thickness,baseline_declining,serotonin,5HT1a,cortical,62,-0.4612,0.000162,0.000719,True,-0.642,-0.2317,negative,baseline,declining
thickness,baseline_all,serotonin,5HT4,cortical,62,-0.5984,0.0,2e-06,True,-0.7414,-0.4036,negative,baseline,all
thickness,delta_declining,serotonin,5HT1a,cortical,62,-0.6321,0.0,0.0,True,-0.7648,-0.448,negative,delta,declining
thickness,delta_all,serotonin,5HT1a,cortical,62,-0.6668,0.0,0.0,True,-0.7886,-0.4946,negative,delta,all
thickness,delta_declining,serotonin,5HT4,cortical,62,-0.5132,2e-05,6e-05,True,-0.6804,-0.2952,negative,delta,declining
thickness,delta_declining,dopamine,D2,cortical,62,-0.5437,5e-06,1.5e-05,True,-0.7025,-0.3333,negative,delta,declining
thickness,delta_all,dopamine,D2,cortical,62,-0.5526,3e-06,1e-05,True,-0.7089,-0.3446,negative,delta,all
volume,baseline_all,serotonin,5HT1a,cortical,62,-0.4834,6.9e-05,0.000413,True,-0.6586,-0.2586,negative,baseline,all
volume,delta_declining,gaba,GABAa-bz,cortical,62,0.4902,5.3e-05,0.00021,True,0.2668,0.6635,positive,delta,declining
volume,baseline_declining,serotonin,5HT1a,subcortical,19,-0.5456,0.015677,0.026875,True,-0.8065,-0.107,negative,baseline,declining
volume,baseline_declining,serotonin,5HT6,cortical,62,0.309,0.014553,0.026875,True,0.0565,0.5243,positive,baseline,declining
volume,delta_all,serotonin,5HT1a,subcortical,19,-0.5649,0.01173,0.035189,True,-0.816,-0.1345,negative,delta,all
volume,baseline_declining,serotonin,5HT4,subcortical,19,0.5684,0.011107,0.026656,True,0.1396,0.8177,positive,baseline,declining
volume,baseline_all,serotonin,5HT4,subcortical,19,0.5789,0.009396,0.018792,True,0.1549,0.8228,positive,baseline,all
volume,baseline_declining,serotonin,5HT6,subcortical,19,0.586,0.008379,0.025137,True,0.1653,0.8262,positive,baseline,declining
volume,baseline_declining,ach,A4B2,cortical,62,0.3418,0.006541,0.019623,True,0.0931,0.5504,positive,baseline,declining
volume,delta_declining,serotonin,5HT4,cortical,62,-0.3421,0.006499,0.019496,True,-0.5506,-0.0934,negative,delta,declining
volume,baseline_all,serotonin,5HT6,subcortical,19,0.607,0.00585,0.014041,True,0.1969,0.8363,positive,baseline,all
volume,delta_declining,serotonin,5HT1b,subcortical,19,0.6088,0.005672,0.019496,True,0.1996,0.8372,positive,delta,declining
volume,delta_declining,dopamine,DAT,subcortical,19,0.6123,0.005327,0.015982,True,0.2049,0.8388,positive,delta,declining
volume,baseline_all,ach,VAChT,cortical,62,0.3501,0.005286,0.015858,True,0.1023,0.5569,positive,baseline,all
volume,delta_all,serotonin,5HT1b,cortical,62,0.3515,0.005093,0.020373,True,0.1039,0.558,positive,delta,all
volume,baseline_declining,dopamine,DAT,subcortical,19,0.6281,0.003983,0.005975,True,0.2294,0.8463,positive,baseline,declining
volume,baseline_all,serotonin,5HT1b,cortical,62,0.3616,0.003882,0.011646,True,0.1154,0.5659,positive,baseline,all
volume,baseline_all,dopamine,DAT,subcortical,19,0.6298,0.003853,0.005779,True,0.2321,0.8471,positive,baseline,all
volume,baseline_declining,dopamine,D1,subcortical,19,0.6544,0.002367,0.004734,True,0.2713,0.8585,positive,baseline,declining
volume,baseline_all,dopamine,D1,subcortical,19,0.6754,0.001506,0.003011,True,0.3059,0.8681,positive,baseline,all
volume,delta_all,serotonin,5HT4,cortical,62,-0.3966,0.001417,0.008502,True,-0.5931,-0.1555,negative,delta,all
volume,baseline_all,serotonin,5HTT,cortical,62,0.4015,0.001218,0.004873,True,0.1612,0.5969,positive,baseline,all
volume,baseline_all,glutamate,NMDA,cortical,62,0.404,0.001127,0.004508,True,0.1642,0.5988,positive,baseline,all
volume,baseline_all,ach,VAChT,subcortical,19,0.7018,0.000812,0.004871,True,0.3505,0.8799,positive,baseline,all
volume,baseline_all,dopamine,D2,cortical,62,-0.4173,0.00074,0.002221,True,-0.6089,-0.1796,negative,baseline,all
volume,baseline_declining,serotonin,5HT4,cortical,62,-0.418,0.000724,0.002894,True,-0.6095,-0.1804,negative,baseline,declining
volume,baseline_declining,ach,VAChT,subcortical,19,0.7211,0.000495,0.002968,True,0.3843,0.8885,positive,baseline,declining
volume,delta_declining,serotonin,5HT1b,cortical,62,0.4494,0.000248,0.001491,True,0.2176,0.6332,positive,delta,declining
volume,baseline_all,dopamine,D2,subcortical,19,0.7526,0.000201,0.001204,True,0.4417,0.9022,positive,baseline,all
volume,baseline_declining,dopamine,D2,subcortical,19,0.7596,0.000161,0.000484,True,0.4548,0.9052,positive,baseline,declining
volume,baseline_declining,dopamine,D2,cortical,62,-0.4638,0.000147,0.000484,True,-0.644,-0.2349,negative,baseline,declining
volume,delta_declining,dopamine,D2,cortical,62,-0.6124,0.0,1e-06,True,-0.7512,-0.4219,negative,delta,declining
volume,delta_declining,serotonin,5HT1a,cortical,62,-0.6561,0.0,0.0,True,-0.7813,-0.4801,negative,delta,declining
volume,delta_all,dopamine,D2,cortical,62,-0.677,0.0,0.0,True,-0.7955,-0.5085,negative,delta,all
volume,delta_all,serotonin,5HT1a,cortical,62,-0.7102,0.0,0.0,True,-0.8179,-0.5544,negative,delta,all
volume,baseline_all,serotonin,5HT4,cortical,62,-0.5303,9e-06,0.000112,True,-0.6928,-0.3164,negative,baseline,all
volume,baseline_all,gaba,GABAa-bz,cortical,62,0.5361,7e-06,2.8e-05,True,0.3238,0.6971,positive,baseline,all
volume,baseline_declining,gaba,GABAa-bz,cortical,62,0.5492,4e-06,1.5e-05,True,0.3403,0.7065,positive,baseline,declining
volume,delta_all,gaba,GABAa-bz,cortical,62,0.5516,3e-06,1.3e-05,True,0.3433,0.7082,positive,delta,all
volume,baseline_declining,serotonin,5HT1a,cortical,62,-0.5523,3e-06,2e-05,True,-0.7087,-0.3442,negative,baseline,declining
volume,baseline_declining,serotonin,5HT1b,cortical,62,0.575,1e-06,1.2e-05,True,0.3732,0.7248,positive,baseline,declining
